Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2017-01-01,"Los Angeles County, CA",06037,116950,30.11,38.56,38.64,3259.04,26.38,12.12
2017-01-01,"Harris County, TX",48201,68422,28.66,38.24,38.34,3215.85,26.93,9.81
2017-01-01,"Cook County, IL",17031,64374,29.79,38.43,38.57,3233.49,27.01,10.86
2017-01-01,"Unidentified Counties, TX",48999,56751,26.73,38.27,38.39,3245.12,27.83,10.53
2017-01-01,"Maricopa County, AZ",04013,52633,28.53,38.49,38.55,3283.31,26.84,11.2
2017-01-01,"Unidentified Counties, GA",13999,41417,26.82,38.17,38.34,3197.75,28.09,11.11
2017-01-01,"San Diego County, CA",06073,41230,29.99,38.67,38.74,3307.53,25.98,11.86
2017-01-01,"Dallas County, TX",48113,39263,28.28,38.44,38.58,3236.84,25.79,9.71
2017-01-01,"Kings County, NY",36047,39192,30.19,38.7,38.76,3237.73,24.91,11.26
2017-01-01,"Unidentified Counties, VA",51999,38295,28.18,38.54,38.71,3280.12,27.89,11.55
2017-01-01,"Orange County, CA",06059,37369,30.8,38.65,38.73,3295.73,25.21,12.49
2017-01-01,"Unidentified Counties, KY",21999,33722,26.63,38.21,38.5,3258.54,28.06,11.93
2017-01-01,"Miami-Dade County, FL",12086,31818,29.89,38.36,38.35,3213.78,25.82,11.83
2017-01-01,"Unidentified Counties, NC",37999,31498,27.31,38.35,38.56,3227.15,28.13,12.01
2017-01-01,"Unidentified Counties, TN",47999,30776,26.65,38.28,38.46,3250.13,27.62,11.37
2017-01-01,"Unidentified Counties, OH",39999,30558,27.16,38.42,38.66,3298.84,27.55,11.48
2017-01-01,"Unidentified Counties, MO",29999,29953,27.03,38.42,38.59,3287.22,27.44,11.14
2017-01-01,"Riverside County, CA",06065,29857,28.85,38.55,38.65,3292.58,27.09,11.41
2017-01-01,"San Bernardino County, CA",06071,29643,28.5,38.47,38.53,3260.0,27.27,11.32
2017-01-01,"Unidentified Counties, IN",18999,29270,27.2,38.52,38.64,3307.62,27.7,11.46
2017-01-01,"Queens County, NY",36081,29008,30.5,38.58,38.69,3214.7,25.37,11.17
2017-01-01,"Tarrant County, TX",48439,27820,28.54,38.37,38.54,3249.84,27.14,9.43
2017-01-01,"Bexar County, TX",48029,27014,28.13,38.18,38.34,3216.27,27.63,10.84
2017-01-01,"Clark County, NV",32003,26949,28.62,38.34,38.53,3204.19,26.46,11.78
2017-01-01,"Unidentified Counties, MS",28999,26037,26.47,37.98,38.13,3134.5,28.73,11.61
2017-01-01,"King County, WA",53033,25300,31.37,38.76,38.92,3329.03,25.46,11.55
2017-01-01,"Wayne County, MI",26163,23279,27.99,38.29,38.36,3175.6,28.1,11.37
2017-01-01,"Unidentified Counties, OK",40999,23261,26.52,38.26,38.46,3279.54,27.9,10.77
2017-01-01,"Unidentified Counties, AL",01999,22881,26.56,38.18,38.29,3192.85,28.23,10.61
2017-01-01,"Unidentified Counties, MN",27999,22804,28.63,38.64,38.78,3384.59,27.81,11.36
2017-01-01,"Broward County, FL",12011,22322,30.16,38.33,38.41,3189.79,26.24,10.33
2017-01-01,"Santa Clara County, CA",06085,22133,31.53,38.66,38.72,3268.03,25.33,12.25
2017-01-01,"Unidentified Counties, IL",17999,21878,27.51,38.33,38.57,3293.57,28.19,12.11
2017-01-01,"Unidentified Counties, IA",19999,21672,28.23,38.54,38.74,3361.09,27.63,11.8
2017-01-01,"Unidentified Counties, MI",26999,21633,27.73,38.67,38.86,3345.61,27.87,11.62
2017-01-01,"Philadelphia County, PA",42101,21288,28.63,38.4,38.45,3175.93,27.07,10.19
2017-01-01,"Unidentified Counties, WI",55999,21252,28.71,38.62,38.84,3372.28,27.99,11.64
2017-01-01,"Unidentified Counties, AR",05999,20701,26.11,38.24,38.49,3210.47,28.03,10.44
2017-01-01,"Bronx County, NY",36005,20588,29.1,38.52,38.59,3190.48,27.08,10.16
2017-01-01,"Unidentified Counties, LA",22999,19602,26.61,38.06,38.02,3170.39,28.35,11.95
2017-01-01,"Sacramento County, CA",06067,19202,29.39,38.65,38.76,3319.86,27.2,12.0
2017-01-01,"Alameda County, CA",06001,18888,31.47,38.65,38.76,3275.17,25.82,10.82
