Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2017-01-01,"Franklin County, OH",39049,18886,29.1,38.42,38.53,3235.02,26.68,10.6
2017-01-01,"Unidentified Counties, NY",36999,17960,28.3,38.75,38.97,3354.45,28.19,11.61
2017-01-01,"New York County, NY",36061,17504,32.38,38.66,38.71,3226.79,23.92,11.68
2017-01-01,"Hillsborough County, FL",12057,17416,28.76,38.4,38.58,3221.31,26.52,10.72
2017-01-01,"Orange County, FL",12095,16890,29.26,38.35,38.47,3228.33,26.51,9.81
2017-01-01,"Salt Lake County, UT",49035,16754,29.0,38.44,38.6,3247.23,26.25,11.03
2017-01-01,"Middlesex County, MA",25017,16736,32.06,38.73,38.91,3307.86,25.26,12.07
2017-01-01,"Unidentified Counties, KS",20999,16623,27.41,38.48,38.49,3308.11,27.61,11.02
2017-01-01,"Hennepin County, MN",27053,16322,30.71,38.69,38.8,3306.71,26.37,11.92
2017-01-01,"Unidentified Counties, PA",42999,16218,27.69,38.68,38.9,3313.16,27.47,11.21
2017-01-01,"Unidentified Counties, WV",54999,15385,26.93,38.27,38.49,3236.45,27.7,11.57
2017-01-01,"Suffolk County, NY",36103,15359,30.75,38.48,38.6,3273.63,26.64,10.85
2017-01-01,"Travis County, TX",48453,15142,29.85,38.53,38.66,3289.9,25.74,12.4
2017-01-01,"Palm Beach County, FL",12099,15050,29.79,38.41,38.5,3218.24,26.16,11.2
2017-01-01,"Mecklenburg County, NC",37119,14753,29.67,38.53,38.65,3228.3,26.21,12.19
2017-01-01,"Cuyahoga County, OH",39035,14550,28.58,38.28,38.41,3169.11,27.36,11.52
2017-01-01,"Fresno County, CA",06019,14541,28.25,38.53,38.58,3286.95,28.01,13.75
2017-01-01,"Marion County, IN",18097,14389,28.0,38.36,38.42,3214.05,28.03,10.74
2017-01-01,"Fairfax County, VA",51059,14220,31.56,38.52,38.68,3274.0,25.38,11.8
2017-01-01,"Nassau County, NY",36059,14178,31.64,38.57,38.67,3259.96,25.94,11.4
2017-01-01,"Hidalgo County, TX",48215,14108,26.77,37.95,38.1,3178.3,28.18,10.87
2017-01-01,"Milwaukee County, WI",55079,13427,28.34,38.3,38.49,3197.99,28.03,11.71
2017-01-01,"Fulton County, GA",13121,13363,29.87,38.37,38.62,3158.23,26.4,10.91
2017-01-01,"Kern County, CA",06029,13326,27.57,38.55,38.65,3274.54,28.24,11.37
2017-01-01,"Oakland County, MI",26125,13235,30.49,38.5,38.57,3273.54,26.14,13.15
2017-01-01,"Duval County, FL",12031,13182,28.29,38.29,38.45,3199.37,27.12,9.57
2017-01-01,"Shelby County, TN",47157,13163,27.59,38.18,38.23,3136.81,27.55,9.33
2017-01-01,"Unidentified Counties, SC",45999,13038,26.76,38.16,38.31,3161.24,28.83,11.97
2017-01-01,"Unidentified Counties, FL",12999,13012,27.15,38.3,38.5,3241.23,27.72,10.38
2017-01-01,"Allegheny County, PA",42003,12882,29.92,38.55,38.7,3254.26,26.18,12.88
2017-01-01,"Wake County, NC",37183,12682,30.46,38.58,38.76,3291.44,26.16,12.25
2017-01-01,"Montgomery County, MD",24031,12681,31.6,38.53,38.65,3278.47,25.62,11.42
2017-01-01,"Honolulu County, HI",15003,12487,29.48,38.4,38.64,3229.87,26.52,10.79
2017-01-01,"Prince George's County, MD",24033,12393,29.5,38.36,38.4,3204.24,27.78,10.25
2017-01-01,"Unidentified Counties, WA",53999,12382,28.1,38.66,38.9,3349.3,27.33,10.94
2017-01-01,"Contra Costa County, CA",06013,12180,30.87,38.62,38.76,3304.55,26.71,11.8
2017-01-01,"El Paso County, TX",48141,12013,26.8,38.28,38.42,3188.35,26.94,9.74
2017-01-01,"Utah County, UT",49049,11618,28.43,38.46,38.63,3296.09,25.29,11.5
2017-01-01,"Oklahoma County, OK",40109,11554,27.96,38.25,38.38,3235.56,27.36,10.66
2017-01-01,"Gwinnett County, GA",13135,11442,29.81,38.4,38.43,3229.33,26.65,11.34
2017-01-01,"St. Louis County, MO",29189,11374,29.56,38.32,38.39,3226.98,26.67,11.16
2017-01-01,"Pierce County, WA",53053,11297,28.68,38.66,38.88,3345.86,27.51,11.56
2017-01-01,"Unidentified Counties, NE",31999,11002,27.98,38.61,38.73,3331.32,27.39,11.03
2017-01-01,"Pima County, AZ",04019,10983,28.16,38.57,38.53,3267.92,27.06,9.95
2017-01-01,"DeKalb County, GA",13089,10933,29.45,38.42,38.47,3171.89,26.54,10.64
2017-01-01,"Collin County, TX",48085,10919,30.52,38.38,38.53,3271.33,25.7,11.1
2017-01-01,"Hamilton County, OH",39061,10833,28.79,38.35,38.5,3222.59,26.9,11.55
2017-01-01,"Unidentified Counties, ID",16999,10587,27.43,38.6,38.73,3293.63,27.0,11.1
2017-01-01,"Westchester County, NY",36119,10400,31.82,38.6,38.61,3268.27,25.87,11.21
2017-01-01,"DuPage County, IL",17043,10337,31.15,38.52,38.71,3305.99,26.17,12.21
2017-01-01,"Essex County, NJ",34013,10298,30.19,38.41,38.43,3212.17,26.93,9.63
2017-01-01,"Unidentified Counties, CA",06999,10254,28.32,38.72,38.84,3313.65,27.16,11.38
2017-01-01,"Hudson County, NJ",34017,10165,30.86,38.48,38.55,3210.89,25.47,10.28
2017-01-01,"Davidson County, TN",47037,10063,29.06,38.45,38.53,3245.97,26.05,9.64
2017-01-01,"Unidentified Counties, OR",41999,9979,28.13,38.74,38.92,3342.9,27.55,11.68
2017-01-01,"San Joaquin County, CA",06077,9928,28.62,38.5,38.61,3283.18,27.69,12.89
2017-01-01,"Jefferson County, KY",21111,9908,28.54,38.32,38.64,3246.0,27.05,11.8
2017-01-01,"Fairfield County, CT",09001,9904,31.44,38.62,38.77,3296.75,25.66,12.42
2017-01-01,"Snohomish County, WA",53061,9883,30.09,38.71,38.91,3347.24,26.39,11.01
2017-01-01,"Erie County, NY",36029,9870,29.3,38.53,38.66,3268.14,27.68,10.45
2017-01-01,"Baltimore County, MD",24005,9844,29.91,38.37,38.49,3238.55,27.25,10.81
2017-01-01,"Denton County, TX",48121,9786,29.77,38.38,38.51,3276.82,26.17,10.64
2017-01-01,"Fort Bend County, TX",48157,9627,30.72,38.24,38.34,3227.43,26.13,9.73
2017-01-01,"Denver County, CO",08031,9594,30.16,38.72,38.75,3183.81,25.65,10.35
2017-01-01,"Cobb County, GA",13067,9588,30.04,38.41,38.65,3232.68,26.73,12.76
2017-01-01,"District of Columbia, DC",11001,9560,30.41,38.51,38.49,3202.25,25.74,10.58
2017-01-01,"Unidentified Counties, NM",35999,9551,26.78,38.41,38.52,3173.14,27.5,9.98
2017-01-01,"El Paso County, CO",08041,9493,28.25,38.4,38.53,3154.66,26.85,9.46
2017-01-01,"Suffolk County, MA",25025,9359,30.88,38.64,38.79,3264.05,26.06,12.34
2017-01-01,"Bergen County, NJ",34003,9339,32.1,38.48,38.63,3255.47,25.1,11.35
2017-01-01,"Ventura County, CA",06111,9318,29.9,38.67,38.76,3327.44,26.79,12.48
2017-01-01,"Jackson County, MO",29095,9291,28.01,38.47,38.51,3244.54,27.38,10.61
2017-01-01,"Macomb County, MI",26099,9240,29.19,38.32,38.44,3230.63,27.39,12.59
2017-01-01,"Hartford County, CT",09003,9204,29.99,38.42,38.61,3246.92,26.89,10.87
2017-01-01,"Middlesex County, NJ",34023,9123,30.53,38.53,38.66,3230.62,26.28,10.91
2017-01-01,"Tulsa County, OK",40143,9120,27.95,38.22,38.31,3259.65,27.42,10.96
2017-01-01,"San Francisco County, CA",06075,8947,32.96,38.76,38.84,3271.56,24.07,11.2
2017-01-01,"Unidentified Counties, MT",30999,8763,28.29,38.57,38.65,3270.57,26.54,10.91
2017-01-01,"Jefferson County, AL",01073,8706,28.32,38.27,38.25,3150.12,27.34,10.47
2017-01-01,"Montgomery County, PA",42091,8702,31.13,38.72,38.86,3321.3,25.88,11.01
2017-01-01,"Kent County, MI",26081,8697,28.88,38.58,38.76,3305.16,27.41,11.86
2017-01-01,"Essex County, MA",25009,8655,30.28,38.7,38.88,3313.41,26.35,11.71
2017-01-01,"New Haven County, CT",09009,8641,29.85,38.58,38.8,3254.54,27.27,13.0
2017-01-01,"Ocean County, NJ",34029,8597,29.37,38.84,39.09,3339.75,25.27,11.0
2017-01-01,"San Mateo County, CA",06081,8585,32.3,38.65,38.75,3279.04,25.1,11.66
2017-01-01,"Multnomah County, OR",41051,8573,30.77,38.78,38.91,3327.89,26.03,11.42
2017-01-01,"Worcester County, MA",25027,8513,29.75,38.7,38.85,3309.99,26.93,11.62
2017-01-01,"Unidentified Counties, CO",08999,8334,28.75,38.6,38.69,3175.21,26.31,10.27
2017-01-01,"Douglas County, NE",31055,8305,29.04,38.34,38.51,3274.23,26.82,11.82
2017-01-01,"Pinellas County, FL",12103,8230,29.09,38.53,38.68,3259.39,26.26,11.0
2017-01-01,"Unidentified Counties, ND",38999,8203,28.22,38.52,38.7,3353.22,28.04,10.49
2017-01-01,"Baltimore city, MD",24510,7941,28.39,38.22,38.33,3133.36,27.99,10.19
2017-01-01,"Monroe County, NY",36055,7893,29.36,38.61,38.81,3268.95,27.25,10.87
2017-01-01,"Polk County, FL",12105,7849,27.52,38.45,38.62,3264.72,27.83,10.4
2017-01-01,"Unidentified Counties, SD",46999,7755,28.2,38.52,38.59,3336.18,26.99,10.23
2017-01-01,"Ramsey County, MN",27123,7686,29.61,38.72,38.86,3292.37,27.1,11.04
2017-01-01,"Lake County, IL",17097,7607,30.15,38.43,38.62,3285.25,27.17,11.81
2017-01-01,"Arapahoe County, CO",08005,7574,29.72,38.6,38.61,3181.88,26.23,10.11
2017-01-01,"Stanislaus County, CA",06099,7441,28.35,38.63,38.77,3323.73,28.1,12.37
2017-01-01,"Bernalillo County, NM",35001,7436,28.41,38.43,38.59,3189.46,26.63,9.45
2017-01-01,"Will County, IL",17197,7427,29.91,38.39,38.56,3306.95,27.16,11.18
2017-01-01,"Lancaster County, PA",42071,7258,28.81,38.7,38.87,3359.21,26.07,11.15
2017-01-01,"Johnson County, KS",20091,7223,30.48,38.58,38.64,3344.23,25.89,11.86
2017-01-01,"Providence County, RI",44007,7173,29.09,38.56,38.76,3266.03,26.98,12.19
2017-01-01,"Montgomery County, TX",48339,7139,28.78,38.45,38.59,3298.09,26.5,10.21
2017-01-01,"Norfolk County, MA",25021,7134,32.28,38.7,38.83,3312.66,25.13,12.27
2017-01-01,"Tulare County, CA",06107,7130,27.64,38.53,38.67,3298.95,27.93,11.63
2017-01-01,"Polk County, IA",19153,6943,28.91,38.54,38.77,3352.22,26.99,12.05
2017-01-01,"Sedgwick County, KS",20173,6924,27.82,38.27,38.25,3267.96,27.25,10.71
2017-01-01,"Unidentified Counties, WY",56999,6903,27.87,38.54,38.6,3193.68,26.41,10.63
2017-01-01,"Anne Arundel County, MD",24003,6898,30.2,38.51,38.7,3297.57,26.69,10.06
2017-01-01,"Union County, NJ",34039,6859,30.77,38.59,38.69,3281.08,26.74,10.38
2017-01-01,"Passaic County, NJ",34031,6790,29.38,38.37,38.45,3232.99,26.53,10.97
2017-01-01,"Montgomery County, OH",39113,6730,27.87,38.26,38.42,3233.57,28.02,11.48
2017-01-01,"Lee County, FL",12071,6681,28.47,38.4,38.54,3252.11,27.02,10.22
2017-01-01,"Prince William County, VA",51153,6675,29.98,38.46,38.65,3282.03,26.87,11.11
2017-01-01,"Adams County, CO",08001,6610,28.69,38.62,38.72,3198.41,27.2,10.16
2017-01-01,"Delaware County, PA",42045,6576,30.39,38.56,38.6,3282.83,26.4,9.83
2017-01-01,"Unidentified Counties, UT",49999,6570,28.01,38.39,38.57,3241.69,26.3,11.11
2017-01-01,"Washington County, OR",41067,6570,30.47,38.79,38.79,3333.53,26.23,11.06
2017-01-01,"Williamson County, TX",48491,6432,30.01,38.4,38.55,3288.11,26.26,12.54
2017-01-01,"New Castle County, DE",10003,6431,29.34,38.47,38.56,3253.67,27.41,11.01
2017-01-01,"Greenville County, SC",45045,6409,28.9,38.39,38.6,3252.92,27.0,12.81
2017-01-01,"Kane County, IL",17089,6339,29.46,38.37,38.55,3319.7,27.62,11.37
2017-01-01,"Unidentified Counties, AK",02999,6309,28.09,38.67,38.84,3420.12,27.04,10.45
2017-01-01,"Cameron County, TX",48061,6276,26.65,38.08,38.13,3187.98,28.2,11.15
2017-01-01,"Guilford County, NC",37081,6218,28.61,38.37,38.52,3205.93,27.65,13.06
2017-01-01,"Camden County, NJ",34007,6022,29.48,38.47,38.64,3239.5,27.65,10.09
2017-01-01,"Bell County, TX",48027,5976,26.98,38.37,38.54,3238.23,27.07,11.14
2017-01-01,"East Baton Rouge Parish, LA",22033,5975,27.85,38.08,38.12,3138.55,27.55,10.34
2017-01-01,"Summit County, OH",39153,5904,28.46,38.54,38.69,3267.47,26.91,11.45
2017-01-01,"Spokane County, WA",53063,5895,28.55,38.61,38.92,3311.36,26.92,11.42
2017-01-01,"Dane County, WI",55025,5883,30.6,38.68,38.85,3340.37,26.23,12.7
2017-01-01,"Jefferson Parish, LA",22051,5835,28.46,38.28,38.39,3195.16,27.61,11.55
2017-01-01,"Jefferson County, CO",08059,5819,30.61,38.82,38.79,3218.26,25.48,10.5
2017-01-01,"Monterey County, CA",06053,5810,28.66,38.72,38.81,3342.63,27.87,12.01
2017-01-01,"Bucks County, PA",42017,5775,30.81,38.66,38.76,3326.66,26.06,11.25
2017-01-01,"Monmouth County, NJ",34025,5737,31.36,38.5,38.7,3285.98,25.82,11.14
2017-01-01,"Bristol County, MA",25005,5733,29.28,38.62,38.78,3277.95,26.94,12.21
2017-01-01,"Virginia Beach city, VA",51810,5710,29.19,38.51,38.78,3282.04,26.69,12.24
2017-01-01,"Mobile County, AL",01097,5607,27.1,38.07,38.27,3158.62,27.87,10.84
2017-01-01,"Lake County, IN",18089,5601,28.13,38.48,38.53,3256.09,28.0,10.6
2017-01-01,"Santa Barbara County, CA",06083,5531,28.94,38.58,38.66,3291.98,26.71,13.51
2017-01-01,"Clark County, WA",53011,5520,29.08,38.73,38.77,3350.03,26.81,11.11
2017-01-01,"Cumberland County, NC",37051,5506,26.98,38.35,38.82,3229.0,27.07,11.56
2017-01-01,"Rockland County, NY",36087,5481,29.79,38.98,39.11,3319.73,25.67,11.09
2017-01-01,"Davis County, UT",49011,5481,28.96,38.35,38.54,3270.2,25.91,11.5
2017-01-01,"Unidentified Counties, MD",24999,5464,28.37,38.51,38.76,3300.44,27.53,11.26
2017-01-01,"Lucas County, OH",39095,5445,27.49,38.3,38.42,3212.95,27.83,11.94
2017-01-01,"Richmond County, NY",36085,5444,30.65,38.59,38.7,3238.86,26.08,12.75
2017-01-01,"Chester County, PA",42029,5323,30.88,38.76,38.89,3343.4,25.41,9.71
2017-01-01,"Pulaski County, AR",05119,5259,27.82,38.27,38.79,3184.81,26.7,10.78
2017-01-01,"Knox County, TN",47093,5211,28.54,38.38,38.43,3275.95,26.61,12.74
2017-01-01,"Washoe County, NV",32031,5210,28.72,38.47,38.72,3231.25,27.16,10.03
2017-01-01,"Allen County, IN",18003,5206,27.8,38.52,38.59,3248.2,27.6,11.93
2017-01-01,"Brevard County, FL",12009,5201,28.57,38.5,38.71,3271.27,26.43,11.63
2017-01-01,"Plymouth County, MA",25023,5189,30.89,38.69,38.85,3341.05,26.29,12.25
2017-01-01,"Dakota County, MN",27037,5147,30.4,38.67,38.85,3356.94,27.22,12.52
2017-01-01,"Pasco County, FL",12101,5140,28.67,38.41,38.63,3256.37,26.71,10.94
2017-01-01,"Solano County, CA",06095,5131,29.43,38.72,38.85,3328.6,27.83,11.47
2017-01-01,"Orange County, NY",36071,5092,29.52,38.78,38.95,3320.17,26.88,10.04
2017-01-01,"Loudoun County, VA",51107,5067,31.78,38.52,38.76,3293.22,25.42,12.08
2017-01-01,"Onondaga County, NY",36067,5052,29.12,38.71,38.92,3314.24,27.74,12.58
2017-01-01,"Volusia County, FL",12127,4986,28.15,38.43,38.65,3255.74,26.75,11.26
2017-01-01,"Hampden County, MA",25013,4975,28.47,38.57,38.79,3261.14,27.62,11.66
2017-01-01,"York County, PA",42133,4933,28.41,38.49,38.67,3292.29,27.31,11.58
2017-01-01,"Webb County, TX",48479,4872,26.55,38.08,38.05,3206.51,27.69,10.42
2017-01-01,"Ada County, ID",16001,4842,29.38,38.69,38.89,3336.35,25.96,12.2
2017-01-01,"Charleston County, SC",45019,4803,29.85,38.41,38.5,3232.43,26.13,11.16
2017-01-01,"Seminole County, FL",12117,4774,29.89,38.47,38.63,3276.42,26.44,10.5
2017-01-01,"Genesee County, MI",26049,4739,27.26,38.23,38.42,3207.11,27.81,11.95
2017-01-01,"Berks County, PA",42011,4719,28.13,38.57,38.78,3285.85,26.99,15.17
2017-01-01,"Richland County, SC",45079,4646,28.64,38.18,38.41,3183.68,28.25,11.37
2017-01-01,"Sonoma County, CA",06097,4642,30.48,38.86,38.98,3379.52,26.88,11.48
2017-01-01,"Morris County, NJ",34027,4636,32.19,38.64,38.82,3304.49,25.5,11.16
2017-01-01,"Brazoria County, TX",48039,4630,28.64,38.22,38.41,3247.19,27.24,10.01
2017-01-01,"Orleans Parish, LA",22071,4619,28.97,38.16,38.36,3120.89,27.21,10.99
2017-01-01,"Nueces County, TX",48355,4520,27.18,38.21,38.27,3230.73,27.81,8.93
2017-01-01,"Marion County, OR",41047,4467,28.32,38.59,38.88,3341.31,28.05,11.74
2017-01-01,"Butler County, OH",39017,4466,28.22,38.47,38.65,3290.61,27.19,11.84
2017-01-01,"St. Charles County, MO",29183,4459,30.15,38.36,38.52,3323.62,26.37,12.11
2017-01-01,"Burlington County, NJ",34005,4424,30.39,38.55,38.78,3288.7,27.24,10.68
2017-01-01,"Pinal County, AZ",04021,4392,27.72,38.49,38.58,3311.03,27.9,11.8
2017-01-01,"Osceola County, FL",12097,4386,28.42,38.43,38.6,3237.95,26.72,11.58
2017-01-01,"Forsyth County, NC",37067,4368,28.53,38.3,38.69,3190.75,27.37,14.12
2017-01-01,"Lehigh County, PA",42077,4291,28.65,38.61,38.78,3272.96,26.98,12.38
2017-01-01,"Madison County, AL",01089,4253,28.42,38.13,38.21,3214.86,27.35,9.86
2017-01-01,"Weld County, CO",08123,4250,28.22,38.67,38.72,3241.3,26.98,11.74
2017-01-01,"Hamilton County, TN",47065,4235,28.11,38.34,38.36,3224.56,26.53,11.12
2017-01-01,"Anoka County, MN",27003,4215,30.01,38.71,38.85,3365.24,27.58,11.52
2017-01-01,"Unidentified Counties, VT",50999,4205,29.01,38.84,39.07,3349.52,27.62,12.92
2017-01-01,"Merced County, CA",06047,4202,27.94,38.48,38.64,3294.53,29.09,10.45
2017-01-01,"Durham County, NC",37063,4181,29.83,38.55,38.68,3248.76,26.64,13.42
2017-01-01,"Hillsborough County, NH",33011,4178,29.53,38.79,38.97,3330.23,27.07,12.71
2017-01-01,"St. Louis city, MO",29510,4138,28.44,38.13,38.22,3127.37,27.27,10.01
2017-01-01,"Anchorage Borough, AK",02020,4136,28.92,38.59,38.73,3354.98,27.47,11.18
2017-01-01,"Mercer County, NJ",34021,4081,30.0,38.5,38.64,3231.92,26.7,11.14
2017-01-01,"Onslow County, NC",37133,4061,26.19,38.57,39.27,3323.53,26.4,11.96
2017-01-01,"Rutherford County, TN",47149,4030,28.33,38.19,38.31,3245.39,27.05,10.67
2017-01-01,"Stark County, OH",39151,4025,27.55,38.49,38.67,3274.63,27.52,11.05
2017-01-01,"Lubbock County, TX",48303,4017,26.93,38.44,38.56,3242.03,27.44,10.71
2017-01-01,"Clackamas County, OR",41005,3999,30.16,38.72,38.91,3363.45,26.43,11.64
2017-01-01,"Galveston County, TX",48167,3995,28.54,38.24,38.42,3244.06,27.45,9.47
2017-01-01,"Escambia County, FL",12033,3954,27.38,38.17,38.35,3195.34,27.46,10.44
2017-01-01,"Unidentified Counties, ME",23999,3947,27.96,38.71,38.91,3333.45,28.08,12.78
2017-01-01,"Lancaster County, NE",31109,3925,29.05,38.38,38.53,3317.99,26.41,10.46
2017-01-01,"Fayette County, KY",21067,3912,28.95,38.35,38.54,3270.64,26.7,12.02
2017-01-01,"Henrico County, VA",51087,3895,29.9,38.41,38.61,3244.7,26.8,11.88
2017-01-01,"Waukesha County, WI",55133,3863,31.08,38.51,38.74,3347.68,26.47,13.18
2017-01-01,"Chesterfield County, VA",51041,3845,29.71,38.39,38.79,3283.48,27.53,11.34
2017-01-01,"Hamilton County, IN",18057,3835,31.08,38.5,38.56,3332.19,26.17,12.4
2017-01-01,"Spartanburg County, SC",45083,3820,27.47,38.27,38.42,3245.73,27.69,13.31
2017-01-01,"Clayton County, GA",13063,3813,27.75,38.15,38.37,3107.68,28.37,9.62
2017-01-01,"Yakima County, WA",53077,3789,27.56,38.58,38.68,3332.11,28.41,11.27
2017-01-01,"Weber County, UT",49057,3766,27.69,38.41,38.65,3254.74,26.6,11.17
2017-01-01,"Benton County, AR",05007,3713,28.19,38.34,38.6,3296.2,27.0,11.14
2017-01-01,"Chatham County, GA",13051,3712,28.21,38.18,38.41,3176.98,27.85,9.76
2017-01-01,"Placer County, CA",06061,3689,30.77,38.8,38.85,3378.93,25.86,12.34
2017-01-01,"Unidentified Counties, NV",32999,3597,27.44,38.46,38.7,3223.93,27.19,10.39
2017-01-01,"Washtenaw County, MI",26161,3536,30.46,38.65,38.84,3311.39,26.37,15.43
2017-01-01,"Howard County, MD",24027,3528,31.67,38.44,38.62,3259.67,25.83,10.24
2017-01-01,"Winnebago County, IL",17201,3501,27.71,38.31,38.51,3245.48,28.34,13.01
2017-01-01,"St. Joseph County, IN",18141,3497,27.73,38.5,38.57,3261.86,27.39,11.04
2017-01-01,"Marion County, FL",12083,3496,27.28,38.44,38.6,3225.98,27.37,9.97
2017-01-01,"Manatee County, FL",12081,3476,28.23,38.49,38.71,3275.26,26.96,11.02
2017-01-01,"Jefferson County, TX",48245,3475,27.1,38.31,38.38,3185.05,27.46,10.31
2017-01-01,"Lane County, OR",41039,3459,28.9,38.72,38.83,3347.27,27.03,11.82
2017-01-01,"McLennan County, TX",48309,3446,27.1,38.32,38.5,3274.22,27.76,10.69
2017-01-01,"Norfolk city, VA",51710,3410,27.4,38.34,38.67,3204.4,27.39,12.24
2017-01-01,"Dauphin County, PA",42043,3404,28.42,38.45,38.62,3236.43,27.28,10.55
2017-01-01,"Montgomery County, TN",47125,3382,26.92,38.43,38.52,3288.01,26.64,12.15
2017-01-01,"Douglas County, CO",08035,3368,31.46,38.54,38.56,3215.52,24.95,11.04
2017-01-01,"Greene County, MO",29077,3339,27.75,38.48,38.63,3317.55,27.0,11.67
2017-01-01,"Lafayette Parish, LA",22055,3339,28.22,38.41,38.62,3254.73,26.64,14.98
2017-01-01,"Brown County, WI",55009,3323,28.67,38.44,38.7,3315.48,27.41,13.81
2017-01-01,"Larimer County, CO",08069,3313,29.87,38.56,38.57,3210.48,25.68,12.19
2017-01-01,"Luzerne County, PA",42079,3284,28.01,38.53,38.73,3260.51,27.23,11.96
2017-01-01,"Lake County, FL",12069,3265,28.15,38.33,38.52,3253.9,27.14,9.93
2017-01-01,"Ottawa County, MI",26139,3264,28.99,38.58,38.77,3398.71,26.85,11.26
