Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2016-01-01,"Los Angeles County, CA",06037,123092,29.9,38.56,38.66,3260.01,26.16,11.99
2016-01-01,"Harris County, TX",48201,72420,28.52,38.27,38.4,3223.41,26.82,9.72
2016-01-01,"Cook County, IL",17031,66779,29.64,38.42,38.56,3233.71,26.89,10.8
2016-01-01,"Unidentified Counties, TX",48999,59168,26.53,38.31,38.44,3246.56,27.59,10.43
2016-01-01,"Maricopa County, AZ",04013,54126,28.37,38.5,38.64,3287.15,26.6,11.13
2016-01-01,"San Diego County, CA",06073,42720,29.79,38.67,38.76,3310.33,25.84,11.46
2016-01-01,"Unidentified Counties, GA",13999,41842,26.7,38.21,38.38,3201.92,27.98,11.25
2016-01-01,"Kings County, NY",36047,40802,29.96,38.7,38.81,3240.91,24.88,11.04
2016-01-01,"Dallas County, TX",48113,40379,28.18,38.61,38.68,3244.14,25.75,9.61
2016-01-01,"Unidentified Counties, VA",51999,38748,28.08,38.56,38.75,3282.03,27.71,11.54
2016-01-01,"Orange County, CA",06059,38106,30.67,38.61,38.71,3288.58,25.07,12.67
2016-01-01,"Unidentified Counties, KY",21999,34379,26.58,38.24,38.53,3263.57,27.79,11.69
2016-01-01,"Miami-Dade County, FL",12086,32697,29.77,38.36,38.49,3214.67,25.63,11.79
2016-01-01,"Unidentified Counties, NC",37999,31354,27.17,38.38,38.61,3233.62,27.86,12.1
2016-01-01,"San Bernardino County, CA",06071,31032,28.25,38.47,38.55,3261.33,26.96,11.34
2016-01-01,"Riverside County, CA",06065,30661,28.59,38.57,38.66,3292.17,26.92,11.49
2016-01-01,"Unidentified Counties, MO",29999,30617,27.0,38.47,38.64,3292.23,27.28,11.12
2016-01-01,"Unidentified Counties, OH",39999,30573,27.09,38.44,38.7,3303.38,27.34,11.5
2016-01-01,"Unidentified Counties, TN",47999,30549,26.55,38.26,38.44,3244.29,27.35,11.23
2016-01-01,"Queens County, NY",36081,30377,30.38,38.61,38.77,3225.41,25.13,11.05
2016-01-01,"Unidentified Counties, IN",18999,29457,27.1,38.54,38.69,3303.32,27.39,11.49
2016-01-01,"Tarrant County, TX",48439,28745,28.34,38.36,38.47,3256.29,27.03,9.45
2016-01-01,"Bexar County, TX",48029,27968,27.89,38.22,38.33,3216.37,27.47,10.93
2016-01-01,"Clark County, NV",32003,27388,28.5,38.38,38.57,3220.08,26.36,11.92
2016-01-01,"Unidentified Counties, MS",28999,26371,26.34,37.98,38.16,3135.99,28.58,11.72
2016-01-01,"King County, WA",53033,26022,31.24,38.81,38.96,3333.74,25.41,11.41
2016-01-01,"Unidentified Counties, OK",40999,24202,26.32,38.31,38.49,3283.67,27.72,10.47
2016-01-01,"Unidentified Counties, MN",27999,23295,28.55,38.64,38.81,3381.42,27.77,11.33
2016-01-01,"Wayne County, MI",26163,23149,27.87,38.34,38.43,3181.9,27.87,11.65
2016-01-01,"Unidentified Counties, AL",01999,23128,26.46,38.2,38.34,3199.02,28.08,10.63
2016-01-01,"Santa Clara County, CA",06085,23042,31.31,38.67,38.74,3264.41,25.16,11.97
2016-01-01,"Broward County, FL",12011,22563,30.02,38.31,38.39,3193.61,26.09,10.47
2016-01-01,"Unidentified Counties, IL",17999,22481,27.41,38.39,38.66,3296.73,27.92,12.11
2016-01-01,"Unidentified Counties, IA",19999,22392,28.01,38.58,38.86,3367.37,27.42,11.83
